channel,symbol,date,side
prices,CRCL,2026-05-06,canonical
prices,CRCL,2026-05-07,canonical
prices,CRCL,2026-05-08,canonical
prices,CRCL,2026-05-09,canonical
prices,CRCL,2026-05-10,canonical
prices,CRCL,2026-05-11,canonical
prices,CRCL,2026-05-12,canonical
prices,CRCL,2026-05-13,canonical
prices,CRCL,2026-05-14,canonical
prices,CRV,2026-04-30,canonical
prices,CRV,2026-05-01,canonical
prices,CRV,2026-05-02,canonical
prices,CRV,2026-05-03,canonical
prices,CRV,2026-05-04,canonical
prices,CRV,2026-05-05,canonical
prices,CRV,2026-05-06,canonical
prices,CRV,2026-05-07,canonical
prices,CRV,2026-05-08,canonical
prices,CRV,2026-05-09,canonical
prices,CRV,2026-05-10,canonical
prices,CRV,2026-05-11,canonical
prices,CRV,2026-05-12,canonical
prices,CRV,2026-05-13,canonical
prices,CRV,2026-05-14,canonical
prices,DOGE,2026-04-30,canonical
prices,DOGE,2026-05-01,canonical
prices,DOGE,2026-05-02,canonical
prices,DOGE,2026-05-03,canonical
prices,DOGE,2026-05-04,canonical
prices,DOGE,2026-05-05,canonical
prices,DOGE,2026-05-06,canonical
prices,DOGE,2026-05-07,canonical
prices,DOGE,2026-05-08,canonical
prices,DOGE,2026-05-09,canonical
prices,DOGE,2026-05-10,canonical
prices,DOGE,2026-05-11,canonical
prices,DOGE,2026-05-12,canonical
prices,DOGE,2026-05-13,canonical
prices,DOGE,2026-05-14,canonical
prices,ENA,2026-04-30,canonical
prices,ENA,2026-05-01,canonical
prices,ENA,2026-05-02,canonical
prices,ENA,2026-05-03,canonical
prices,ENA,2026-05-04,canonical
prices,ENA,2026-05-05,canonical
prices,ENA,2026-05-06,canonical
prices,ENA,2026-05-07,canonical
prices,ENA,2026-05-08,canonical
prices,ENA,2026-05-09,canonical
prices,ENA,2026-05-10,canonical
prices,ENA,2026-05-11,canonical
prices,ENA,2026-05-12,canonical
prices,ENA,2026-05-13,canonical
prices,ENA,2026-05-14,canonical
prices,ETH,2026-04-30,canonical
prices,ETH,2026-05-01,canonical
prices,ETH,2026-05-02,canonical
prices,ETH,2026-05-03,canonical
prices,ETH,2026-05-04,canonical
prices,ETH,2026-05-05,canonical
prices,ETH,2026-05-06,canonical
prices,ETH,2026-05-07,canonical
prices,ETH,2026-05-08,canonical
prices,ETH,2026-05-09,canonical
