symbol,horizon,signal_kind,percentile_cutoff,n_total_windows,n_extreme_windows,extreme_frequency,mean_signed_return_extreme,median_signed_return_extreme,p25_signed_return_extreme,p75_signed_return_extreme,frac_positive_signed_return_extreme,gross_extreme_bps,cost_round_trip_bps,headroom_extreme_bps,per_day_expected_gross_bps
BNB,500,flow,0.99,5296,74,0.0139728,-0.422581,-0.534526,-36.5216,30.6397,0.5,0.422581,10,-9.57742,-0.133823
BTC,10,flow,0.99,16706,172,0.0102957,0.102121,0.102074,-0.776633,1.91296,0.546512,0.102121,10,-9.89788,-0.101906
BTC,50,flow,0.99,16673,172,0.0103161,1.06956,0.39564,-4.36662,7.3147,0.511628,1.06956,10,-8.93044,-0.0921271
BTC,100,flow,0.99,16634,171,0.0102801,1.36787,0.532876,-5.60638,9.11703,0.526316,1.36787,10,-8.63213,-0.0887396
BTC,500,flow,0.99,16302,166,0.0101828,0.00294027,-0.419593,-13.9055,17.8863,0.487952,0.00294027,10,-9.99706,-0.101798
CRV,10,flow,0.99,4410,57,0.0129252,-2.60156,0,-17.0406,4.0808,0.421053,2.60156,10,-7.39844,-0.0956261
CRV,50,flow,0.99,4376,57,0.0130256,3.64898,4.36557e-07,-9.4697,24.325,0.54386,3.64898,10,-6.35102,-0.0827258
CRV,100,flow,0.99,4347,57,0.0131125,9.84493,5.46747,-36.9231,55.0316,0.54386,9.84493,10,-0.15507,-0.00203335
CRV,500,flow,0.99,4019,52,0.0129385,17.946,14.2274,-54.0184,79.6132,0.519231,17.946,10,7.94599,0.102809
DOGE,10,flow,0.99,4532,59,0.0130185,-3.30918,-2.18279e-07,-5.95577,5.94298,0.474576,3.30918,10,-6.69082,-0.0871047
DOGE,50,flow,0.99,4498,59,0.0131169,-1.38104,2.53239,-16.368,13.5957,0.542373,1.38104,10,-8.61896,-0.113054
DOGE,100,flow,0.99,4449,58,0.0130366,0.549986,-4.15798,-21.4122,21.0541,0.413793,0.549986,10,-9.45001,-0.123196
DOGE,500,flow,0.99,4121,53,0.012861,-12.8087,-3.01952e-06,-45.5517,32.0142,0.490566,12.8087,10,2.80866,0.036122
ENA,10,flow,0.99,5312,43,0.00809488,-1.01726,0.98493,-7.02379,7.18495,0.511628,1.01726,10,-8.98274,-0.0727142
ENA,50,flow,0.99,5281,43,0.0081424,4.6216,5.97253,-9.06637,17.5282,0.534884,4.6216,10,-5.3784,-0.043793
ENA,100,flow,0.99,5243,43,0.00820141,10.085,12.4657,-18.9531,43.6336,0.627907,10.085,10,0.0849737,0.000696905
ENA,500,flow,0.99,4915,39,0.00793489,38.9033,16.4339,-38.0039,121.521,0.564103,38.9033,10,28.9033,0.229345
ETH,10,flow,0.99,15602,148,0.00948596,-0.0885822,0.491527,-3.7856,3.59736,0.554054,0.0885822,10,-9.91142,-0.0940193
ETH,50,flow,0.99,15571,148,0.00950485,-0.298168,-3.26286e-07,-7.63492,7.90906,0.5,0.298168,10,-9.70183,-0.0922144
ETH,100,flow,0.99,15527,147,0.00946738,0.76431,0.807349,-10.0401,10.0897,0.517007,0.76431,10,-9.23569,-0.0874378
ETH,500,flow,0.99,15195,144,0.0094768,-3.25876,1.31084,-24.3244,23.6994,0.513889,3.25876,10,-6.74124,-0.0638854
FARTCOIN,10,flow,0.99,4881,69,0.0141364,-1.3225,0,-11.2867,10.4112,0.405797,1.3225,10,-8.6775,-0.122669
FARTCOIN,50,flow,0.99,4849,67,0.0138173,0.288326,10.7354,-20.6436,26.7453,0.626866,0.288326,10,-9.71167,-0.134189
FARTCOIN,100,flow,0.99,4809,67,0.0139322,-1.40257,10.2722,-44.0902,47.391,0.552239,1.40257,10,-8.59743,-0.119781
FARTCOIN,500,flow,0.99,4481,59,0.0131667,27.1532,7.85649,-48.9235,94.658,0.576271,27.1532,10,17.1532,0.225851
HYPE,10,flow,0.99,10860,125,0.0115101,1.08477,1.45519e-07,-6.28156,8.41822,0.512,1.08477,10,-8.91523,-0.102615
HYPE,50,flow,0.99,10823,125,0.0115495,-1.51639,1.57408,-23.8895,16.0905,0.536,1.51639,10,-8.48361,-0.0979812
HYPE,100,flow,0.99,10783,125,0.0115923,-3.21931,-8.91844,-28.0261,20.1757,0.44,3.21931,10,-6.78069,-0.0786039
HYPE,500,flow,0.99,10452,118,0.0112897,-16.419,-18.4871,-59.395,34.0573,0.381356,16.419,10,6.41897,0.0724683
KBONK,10,flow,0.99,4412,44,0.0099728,4.73034,2.64357,-3.30813,11.9864,0.590909,4.73034,10,-5.26966,-0.0525533
KBONK,50,flow,0.99,4382,43,0.00981287,4.46649,5.19818,-8.05361,26.6074,0.604651,4.46649,10,-5.53351,-0.0542996
KBONK,100,flow,0.99,4340,43,0.00990783,7.79265,16.9073,-12.024,29.9128,0.627907,7.79265,10,-2.20735,-0.02187
KBONK,500,flow,0.99,4012,39,0.00972084,13.3595,7.04846,-34.7071,48.7742,0.538462,13.3595,10,3.3595,0.0326571
KPEPE,10,flow,0.99,4646,61,0.0131296,2.90999,0,-5.87199,6.75295,0.491803,2.90999,10,-7.09001,-0.0930889
KPEPE,50,flow,0.99,4611,60,0.0130124,-6.09043,5.82077e-07,-14.6934,20.1673,0.516667,6.09043,10,-3.90957,-0.0508727
KPEPE,100,flow,0.99,4579,60,0.0131033,-12.6637,-10.1513,-33.805,23.507,0.45,12.6637,10,2.66374,0.0349038
KPEPE,500,flow,0.99,4251,52,0.0122324,-27.0619,-26.4046,-80.9654,35.6735,0.403846,27.0619,10,17.0619,0.208708
LDO,10,flow,0.99,4367,62,0.0141974,-0.852746,-5.82077e-07,-10.3755,9.22064,0.451613,0.852746,10,-9.14725,-0.129867
LDO,50,flow,0.99,4333,61,0.014078,9.07846,7.86473,-16.7057,29.9133,0.606557,9.07846,10,-0.921538,-0.0129734
LDO,100,flow,0.99,4297,61,0.014196,-1.39649,-2.13379,-22.247,27.4615,0.47541,1.39649,10,-8.60351,-0.122135
LDO,500,flow,0.99,3969,57,0.0143613,-5.46075,15.5497,-46.3321,69.9206,0.596491,5.46075,10,-4.53925,-0.0651895
LINK,10,flow,0.99,4656,47,0.0100945,-0.561058,-1.10005,-7.20461,5.72078,0.425532,0.561058,10,-9.43894,-0.0952814
LINK,50,flow,0.99,4634,46,0.00992663,-6.74125,-6.12363,-24.182,15.1,0.456522,6.74125,10,-3.25875,-0.0323484
LINK,100,flow,0.99,4592,46,0.0100174,-2.83277,-5.37331,-19.1315,18.799,0.413043,2.83277,10,-7.16723,-0.0717971
LINK,500,flow,0.99,4264,41,0.00961538,0.234602,-3.29979,-46.1442,40.3037,0.439024,0.234602,10,-9.7654,-0.0938981
LTC,10,flow,0.99,4829,55,0.0113895,-0.881587,0,-8.64416,5.36145,0.454545,0.881587,10,-9.11841,-0.103854
