symbol,size_usd,horizon,n_windows,n_fillable_with_edge,fillable_frac,slip_median_bps,slip_p90_bps,edge_median_bps,edge_p75_bps,edge_p90_bps,headroom_median_bps,headroom_p75_bps,headroom_p90_bps,frac_positive_headroom,headroom_55_median_bps,headroom_55_p75_bps,headroom_55_p90_bps,frac_pos_acc_55,headroom_575_median_bps,headroom_575_p75_bps,headroom_575_p90_bps,frac_pos_acc_575,headroom_60_median_bps,headroom_60_p75_bps,headroom_60_p90_bps,frac_pos_acc_60
BTC,10000,50,16910,16552,0.981135,0.200156,1.03227,6.18027,11.9063,20.0072,-6.48184,-0.891541,7.03962,0.224807,-11.8838,-11.3456,-10.6064,0.000120831,-11.6349,-10.829,-9.69362,0.000664572,-11.366,-10.2923,-8.76923,0.00217496
BTC,10000,100,16910,16512,0.981135,0.200156,1.03227,8.87735,17.101,28.1839,-3.82786,4.34357,15.3731,0.362766,-11.6762,-10.8893,-9.82636,0.000484496,-11.2905,-10.108,-8.49242,0.00290698,-10.8681,-9.29357,-7.10869,0.00896318
BTC,10000,500,16910,16186,0.981135,0.200156,1.03227,19.3689,37.5626,63.5863,6.65804,24.894,50.7062,0.642839,-10.729,-8.9675,-6.43046,0.013592,-9.7851,-7.13756,-3.31578,0.0488076,-8.83558,-5.28415,-0.125763,0.0979859
BTC,100000,10,16910,11997,0.709698,0.694261,1.41084,2.42907,5.01508,8.46193,-10.85,-8.38302,-5.15258,0.0260899,-12.9457,-12.4081,-12.0405,0,-12.7975,-12.2303,-11.8004,0,-12.6642,-12.0703,-11.4899,0
BTC,100000,50,16910,11982,0.709698,0.694261,1.41084,6.18027,11.9063,20.0072,-7.0846,-1.6125,6.11176,0.206226,-12.5296,-11.9123,-11.2371,0,-12.2324,-11.4343,-10.3802,0.000166917,-11.9589,-10.9053,-9.46678,0.00116842
BTC,100000,100,16910,11950,0.709698,0.694261,1.41084,8.87735,17.101,28.1839,-4.37601,3.62252,14.5332,0.341506,-12.2664,-11.501,-10.4737,0.000167364,-11.8692,-10.7398,-9.18221,0.001841,-11.4707,-9.9152,-7.83103,0.00661088
BTC,100000,500,16910,11720,0.709698,0.694261,1.41084,19.3689,37.5626,63.5863,5.78578,23.4935,49.3038,0.62773,-11.3443,-9.65916,-7.19751,0.0106655,-10.4298,-7.85875,-4.07829,0.0395904,-9.49038,-6.03231,-0.957528,0.0843857
CRV,1000,10,4615,4609,1,17.0701,27.3926,7.41748,22.3464,38.2348,-35.7326,-24.3723,-11.9776,0.04578,-44.735,-39.8869,-34.0887,0,-44.1583,-39.247,-33.4206,0.000216967,-43.5935,-38.438,-32.4861,0.000216967
CRV,1000,50,4615,4574,1,17.0701,27.3926,22.7359,43.5749,73.3308,-24.1298,-4.49863,22.6233,0.212505,-43.3435,-38.0906,-32.2585,0,-42.1263,-36.3957,-30.3613,0.000218627,-40.9544,-34.7457,-28.0911,0.00109314
CRV,1000,100,4615,4544,1,17.0701,27.3926,33.4596,61.6723,99.0208,-14.7928,13.5572,49.4466,0.351232,-42.2414,-36.7752,-30.6849,0,-40.6109,-34.3451,-27.6426,0.00154049,-39.0524,-31.7785,-24.1445,0.00528169
