symbol,horizon,offset_bps,n_windows,fill_rate_bid,fill_rate_ask,fill_rate_either,mean_pnl_bid_filled,median_pnl_bid_filled,q25_pnl_bid_filled,q75_pnl_bid_filled,mean_pnl_ask_filled,median_pnl_ask_filled,q25_pnl_ask_filled,q75_pnl_ask_filled,mean_pnl_either_filled,median_pnl_either_filled,unconditional_maker_pnl_bps,model_accuracy_breakeven
XPL,50,2,4646,0.689841,0.672191,0.977185,-16.8041,-17.6345,-47.4329,10.9748,-17.3039,-13.249,-45.572,17.1197,-17.0507,-15.4405,-14.6118,0.412027
XPL,50,5,4646,0.644856,0.626776,0.956522,-16.6783,-16.3466,-46.3569,10.6586,-17.567,-13.8491,-46.03,17.1486,-17.1163,-15.2532,-13.8828,0.412364
XPL,100,1,4602,0.789657,0.771404,0.996523,-17.5796,-18.2102,-61.8943,22.3299,-18.6406,-15.2007,-58.6375,29.6596,-18.1039,-16.104,-17.1306,0.417145
XPL,100,2,4602,0.781834,0.76445,0.995654,-17.0896,-17.7861,-61.0658,23.0753,-18.2293,-14.7218,-58.2444,30.1234,-17.6531,-16.0919,-16.6483,0.415029
XPL,100,5,4602,0.749891,0.732073,0.991091,-16.9143,-17.0917,-60.6896,23.6112,-18.5175,-14.2533,-57.9962,29.0239,-17.7062,-15.4841,-16.12,0.415284
XPL,500,1,4268,0.903468,0.89269,0.997188,-19.7465,-23.0009,-116.413,69.2165,-17.0702,-8.42346,-108.86,90.1407,-18.4164,-15.0115,-19.5394,0.418551
XPL,500,2,4268,0.901125,0.888472,0.997188,-19.2082,-22.5606,-115.71,69.8309,-16.7485,-7.87551,-108.407,90.7339,-17.987,-14.6704,-19.0948,0.416607
XPL,500,5,4268,0.887535,0.86926,0.997188,-18.8715,-22.658,-115.068,70.3111,-17.8001,-7.33073,-107.916,89.234,-18.3414,-15.0234,-19.111,0.418218
XRP,10,1,7386,0.502302,0.494449,0.862713,-3.79676,-3.04369,-9.08024,2.0509,-4.0078,-3.24183,-9.23755,1.71133,-3.90145,-3.16179,-4.94439,0.115527
XRP,10,2,7386,0.441782,0.432846,0.791768,-3.70653,-2.93886,-8.98668,2.0004,-3.91757,-3.09622,-9.26258,1.9996,-3.81097,-3.02274,-4.66659,0.1064
XRP,10,5,7386,0.296913,0.292716,0.564446,-3.371,-2.43774,-9.06557,3.23194,-3.39039,-2.47336,-8.92171,3.02186,-3.38063,-2.4667,-3.99666,0.0562952
XRP,50,1,7351,0.755135,0.753639,0.996463,-5.24229,-4.42167,-16.9286,6.74362,-4.87879,-3.82215,-16.1628,7.51482,-5.06072,-4.12543,-6.81774,0.203599
XRP,50,2,7351,0.715277,0.71174,0.991158,-5.33834,-4.36332,-16.8193,6.5144,-4.86382,-3.81474,-15.9867,7.76239,-5.10167,-4.09064,-6.64008,0.205978
XRP,50,5,7351,0.606312,0.59815,0.943953,-5.166,-4.31275,-16.9233,7.18006,-4.97075,-3.86921,-16.1392,7.61839,-5.06904,-4.08731,-6.05273,0.204086
XRP,100,1,7307,0.827563,0.818393,0.998358,-5.56452,-5.4384,-23.311,11.5733,-5.10656,-3.55279,-21.1231,13.5331,-5.33682,-4.61686,-7.39208,0.218934
XRP,100,2,7307,0.796907,0.787601,0.9974,-5.70895,-5.59991,-23.2479,11.1388,-5.15828,-3.63784,-21.1835,13.8163,-5.43524,-4.47456,-7.30609,0.224023
XRP,100,5,7307,0.717121,0.70453,0.989052,-5.57807,-5.27451,-22.8684,11.1586,-5.34244,-3.42325,-20.9024,13.4947,-5.4613,-4.41922,-6.88203,0.22534
XRP,500,1,6973,0.91969,0.917969,0.998709,-6.68432,-6.92351,-45.8396,31.3288,-4.95094,-2.65237,-42.2546,36.1911,-5.81844,-4.6966,-8.34616,0.242199
XRP,500,2,6973,0.905349,0.905493,0.998709,-6.74906,-6.59895,-45.8143,31.0177,-4.90686,-2.40216,-41.9972,35.9692,-5.82788,-4.53259,-8.27669,0.242617
XRP,500,5,6973,0.871218,0.86376,0.998709,-6.27654,-6.08624,-45.7007,31.0058,-5.14844,-2.04272,-41.1689,34.6975,-5.71491,-3.94813,-7.95762,0.237529
