symbol,horizon,fold,n_test_windows,p_cascade,precision_top_decile,recall_top_decile,lift,auc,mean_edge_in_cascade_bps,headroom_top_decile_bps,expected_gross_per_day
LINK,50,2026-03,490,0.012244897959183673,0.04081632653061224,0.3333333333333333,3.333333333333333,0.6466942148760331,179.86637388275994,589.5545796091998,1031.7205143160995
LINK,100,2026-02,589,0.028862478777589132,0.034482758620689655,0.11764705882352941,1.1947261663286004,0.6360551213492389,222.48641547990073,255.81034222649396,538.1153270407319
LINK,100,2026-03,483,0.008281573498964804,0.0,0.0,0.0,0.494258872651357,199.87920005121396,-10.0,-17.25
LINK,500,2026-02,533,0.01876172607879925,0.05660377358490566,0.3,3.0169811320754714,0.5717017208413002,552.6631725872443,1657.3743640886858,3154.9304859259623
LINK,500,2026-03,433,0.009237875288683603,0.0,0.0,0.0,0.6130536130536131,502.68959346340125,-10.0,-15.464285714285712
LTC,10,2026-02,543,0.029465930018416207,0.1111111111111111,0.375,3.770833333333333,0.769331119544592,74.98931355854651,272.7722032103525,528.9832369400764
LTC,10,2026-03,471,0.006369426751592357,0.0425531914893617,0.6666666666666666,6.680851063829786,0.7685185185185185,75.85481434944086,496.7747171430729,835.6460420513835
LTC,50,2026-02,536,0.03171641791044776,0.03773584905660377,0.11764705882352941,1.1897891231964484,0.7032755298651252,154.39323907177086,173.69539654266188,332.5026162388099
LTC,50,2026-03,469,0.0042643923240938165,0.0,0.0,0.0,0.7933618843683083,143.33929218992125,-10.0,-16.75
LTC,100,2026-02,530,0.020754716981132074,0.07547169811320754,0.36363636363636365,3.6363636363636362,0.6621124540199684,241.06597003331208,866.6035273938621,1640.3566768526675
LTC,100,2026-03,465,0.008602150537634409,0.0,0.0,0.0,0.554229934924078,175.5876271636217,-10.0,-16.607142857142858
LTC,500,2026-02,474,0.02109704641350211,0.0851063829787234,0.4,4.034042553191489,0.6127155172413793,504.38479924696645,2024.7097433452093,3427.5443512343895
LTC,500,2026-03,415,0.0,0.0,,,,,,
PENGU,10,2026-02,551,0.038112522686025406,0.14545454545454545,0.38095238095238093,3.8164502164502165,0.8185085354896676,121.49620581545769,453.68422098228353,892.7857348615651
PENGU,10,2026-03,468,0.008547008547008548,0.043478260869565216,0.5,5.08695652173913,0.7995689655172413,95.77576965966728,477.20717609482915,797.617708615643
PENGU,50,2026-02,541,0.029574861367837338,0.1111111111111111,0.375,3.756944444444444,0.7732142857142857,248.64157469664855,924.1325827144921,1785.5561687447866
PENGU,50,2026-03,463,0.017278617710583154,0.08695652173913043,0.5,5.032608695652174,0.7563186813186813,217.84960188597324,1086.3518007957132,1796.3602991729113
PENGU,100,2026-02,535,0.024299065420560748,0.1509433962264151,0.6153846153846154,6.211901306240929,0.7474211612142646,341.6941984183864,2112.5706374901215,4036.518896632911
